timestamp,X,Y,Z
1764346518410,-0.250050,1.732950,9.627001
1764346518420,0.036000,2.389050,9.298950
1764346518430,-0.157050,3.150000,8.296050
1764346518440,-0.447000,3.456000,7.771050
1764346518449,-0.637950,3.612000,7.501050
1764346518459,-0.598050,3.346050,7.692000
1764346518469,-0.600000,2.923050,8.551950
1764346518479,-0.613950,2.185050,9.442950
1764346518489,-0.231000,0.271950,8.727000
1764346518499,0.373050,0.220050,9.225000
1764346518509,-0.339000,2.008050,11.341050
1764346518519,0.165000,2.571000,11.221951
1764346518529,0.595950,2.334000,11.104051
1764346518539,-0.121050,2.038950,11.164050
1764346518549,-0.688950,1.909950,10.057950
1764346518559,-1.342050,2.080050,8.803050
1764346518569,-1.810950,2.491950,8.325001
1764346518579,-1.879050,2.701950,8.514000
1764346518589,-1.789950,3.205050,9.226951
1764346518599,-0.954000,2.913000,9.246000
1764346518609,0.223050,2.167950,9.646050
1764346518619,1.219050,2.274000,8.145000
1764346518628,0.961950,2.362050,8.820001
1764346518638,1.149000,2.146950,9.466950
1764346518648,0.661050,2.005950,10.216050
1764346518658,0.493050,1.849950,10.222951
1764346518668,0.129000,1.761000,9.727950
1764346518678,0.025950,1.395000,8.844001
1764346518688,-0.217050,1.362000,8.466001
1764346518698,-0.732000,1.737000,8.920951
1764346518708,-1.069050,1.998000,9.157950
1764346518718,-0.946950,1.906950,9.148050
1764346518728,-0.753000,1.759050,9.184051
1764346518738,-0.817950,1.729950,9.049951
1764346518748,-1.021050,1.809000,8.944950
1764346518758,-1.009050,2.085000,9.043051
1764346518768,-1.222950,2.620950,9.274950
1764346518778,-1.327950,3.367950,9.589050
1764346518788,-1.093050,3.643050,10.068001
1764346518798,-0.756000,3.412950,10.542001
1764346518807,-0.097050,3.222000,11.317051
1764346518817,0.049950,3.217050,12.112051
1764346518827,-0.118950,2.953950,12.478050
1764346518837,0.439950,2.355000,12.885000
1764346518847,1.156050,1.969950,12.483001
1764346518857,0.898050,2.062950,11.935051
1764346518867,0.792000,2.077050,11.446951
1764346518877,0.498000,2.310000,9.471001
1764346518887,0.127050,3.045000,3.238950
1764346518897,-0.495000,3.211950,0.100050
1764346518907,-0.126000,3.354000,6.081000
1764346518917,0.235050,4.222950,8.904000
1764346518927,0.871050,4.519950,9.292050
1764346518937,1.401000,4.065000,9.808950
1764346518947,1.398000,3.499950,8.929951
1764346518957,0.756000,3.028050,8.451000
1764346518967,0.187050,3.361050,9.471001
1764346518977,0.133950,3.631050,9.355950
1764346518986,-0.199950,3.682050,9.277050
1764346518996,-1.041000,3.796050,9.841950
1764346519006,-1.708950,3.904050,10.825951
1764346519016,-2.058000,4.014000,10.065001
1764346519026,-2.049000,3.697950,9.057000
1764346519036,-2.338050,4.000050,8.808001
1764346519046,-1.597950,3.652950,9.724951
1764346519056,-0.820050,2.401050,11.286000
1764346519066,-0.295950,1.684950,10.554001
1764346519076,0.598050,1.759050,11.443951
1764346519086,2.005950,1.417050,11.770051
1764346519096,3.498000,0.595050,10.221001
1764346519106,4.068000,0.363000,7.975050
1764346519116,4.144050,0.174000,5.668950
1764346519126,3.153000,0.484950,4.222950
1764346519136,2.049000,1.354050,4.762050
1764346519146,1.290000,2.146950,7.089000
1764346519156,0.591000,3.235950,10.012051
1764346519165,0.310950,3.697950,11.269051
1764346519175,0.105000,3.853950,12.376051
1764346519185,-0.340950,3.985950,12.328051
1764346519195,-0.637950,3.351000,11.341050
1764346519205,-0.880050,2.326050,9.286950
1764346519215,-0.436950,1.588950,7.201951
1764346519225,-0.253050,1.227000,6.261000
1764346519235,-0.847050,1.275000,6.349051
1764346519245,-1.552950,1.642050,6.084000
1764346519255,-1.612950,2.590050,8.439000
1764346519265,-1.539000,3.705000,10.288051
1764346519275,-0.306000,4.146000,10.414950
1764346519285,2.928000,3.624000,10.338000
1764346519295,3.088050,2.757000,9.385051
1764346519305,-1.507050,1.836000,9.603001
1764346519315,-2.320950,2.736000,10.381050
1764346519325,-2.022000,3.466050,9.385051
1764346519335,-1.627050,3.040050,8.238000
1764346519344,-1.246050,2.619000,8.368051
1764346519354,-1.323000,2.568000,9.342000
1764346519364,-1.297050,2.580000,10.417050
1764346519374,-1.155000,2.269050,10.969951
1764346519384,-0.961950,2.121000,11.257051
1764346519394,-0.715050,1.972050,10.537050
1764346519404,-0.736050,2.029950,9.931050
1764346519414,-1.411950,2.464950,9.699000
1764346519424,-1.699050,2.914950,9.799050
1764346519434,-1.768050,2.815050,9.631950
1764346519444,-1.540950,2.542050,9.876000
1764346519454,-1.206000,2.341050,9.811050
1764346519464,-1.222950,2.245050,9.385051
1764346519474,-1.171950,2.257050,9.232051
1764346519484,-0.970950,2.560950,8.935050
1764346519494,-0.940050,2.539050,8.818050
1764346519504,-0.981000,2.437050,9.225000
1764346519514,-0.909000,2.271000,9.331950
1764346519523,-0.871050,2.206950,8.764951
1764346519533,-1.069050,2.407950,8.590051
1764346519543,-1.297050,2.544000,8.914050
1764346519553,-1.416000,2.508000,9.165000
1764346519563,-1.570050,2.544000,9.270000
1764346519573,-1.438050,2.446050,9.253051
1764346519583,-1.114950,2.178000,9.285001
1764346519593,-0.847050,2.065050,9.237000
1764346519603,-0.832050,2.070000,9.322950
1764346519613,-0.937950,2.106000,9.397051
1764346519623,-1.153050,2.230950,9.301050
1764346519633,-1.339950,2.307000,9.367950
1764346519643,-1.459950,2.449050,9.226951
1764346519653,-1.753950,2.616000,9.016050
1764346519663,-1.821000,2.713950,9.282001
1764346519673,-1.780050,2.452950,9.478951
1764346519683,-1.660950,2.257050,9.883051
1764346519693,-1.680000,2.178000,10.048051
1764346519702,-1.644000,2.365050,9.378000
1764346519712,-1.801950,2.367000,9.412050
1764346519722,-1.729950,2.515950,9.166950
1764346519732,-1.729950,2.616000,9.040051
1764346519742,-1.072050,2.211000,9.246000
1764346519752,-1.225050,2.131950,9.280050
1764346519762,-1.561950,2.500950,9.742050
1764346519772,-1.552950,2.556000,9.675000
1764346519782,-1.443000,2.358000,9.072001
1764346519792,-1.687050,2.499000,8.851050
1764346519802,-1.833000,2.623050,8.929951
1764346519812,-1.989000,2.644950,8.968950
1764346519822,-1.846950,2.484000,9.085951
1764346519832,-1.551000,2.164050,9.285001
1764346519842,-1.546050,2.089050,9.238951
1764346519852,-1.689000,2.161050,9.474000
1764346519862,-2.209050,2.559000,9.877951
1764346519872,-2.535000,2.962950,10.158001
1764346519881,-2.371950,2.755050,9.684000
1764346519891,-2.415000,2.662050,9.250951
1764346519901,-2.511000,2.707050,9.117001
1764346519911,-2.620950,2.772000,9.334950
1764346519921,-2.712000,2.815050,9.153001
1764346519931,-2.752050,2.896050,8.683950
1764346519941,-1.474050,1.588950,8.559000
1764346519951,-4.155000,2.857950,9.487950
